date,bankroll,bet_size,profit,bet_on,odds_taken,predicted_prob,daily_return
2007-01-01,875.0,125.0,-125.0,Baker L.,3.0,0.5,
2007-01-01,1257.8125,139.20454545454544,382.81249999999994,Dulko G.,3.75,0.5,0.4375
2007-01-01,1033.203125,224.609375,-224.609375,Morita A.,4.5,0.5,-0.1785714285714286
2007-01-01,1162.353515625,86.10026041666666,129.150390625,Pin C.,2.5,0.5,0.125
2007-01-01,1027.1599917488302,135.1935238761698,-135.1935238761698,Kostanic J.,2.87,0.5,-0.11631016042780751
2007-01-01,1155.554990717434,85.59666597906917,128.39499896860377,Erakovic M.,2.5,0.5,0.125
2007-01-01,1077.5339420741036,78.02104864333042,-78.02104864333042,Johansson M.,2.37,0.5,-0.06751824817518248
2007-01-02,1023.6572449703984,53.87669710370518,-53.87669710370518,Muller M.,2.25,0.5,-0.050000000000000044
2007-01-02,881.4826276133987,142.1746173569998,-142.1746173569998,Cibulkova D.,3.25,0.5,-0.13888888888888884
2007-01-02,861.448931531276,20.033696082122713,-20.033696082122713,Oprandi R.,2.1,0.5,-0.022727272727272707
2007-01-02,699.9272568691617,161.52167466211426,-161.52167466211426,Osterloh L.,5.0,0.5,-0.1875
2007-01-02,563.8302902557136,136.09696661344813,-136.09696661344813,Schruff J.,5.5,0.5,-0.19444444444444442
2007-01-02,740.0272559606242,78.30976253551579,176.19696570491053,Loit E.,3.25,0.5,0.3125
2007-01-03,690.0619120362754,49.96534392434872,-49.96534392434872,Sun T.T.,2.37,0.5,-0.0675182481751826
2007-01-03,575.0515933635629,115.01031867271257,-115.01031867271257,Erakovic M.,4.0,0.5,-0.16666666666666663
2007-01-03,536.2251171693077,38.82647619425517,-38.82647619425517,Meusburger Y.,2.37,0.5,-0.06751824817518248
2007-01-03,435.6829077000625,100.5422094692452,-100.5422094692452,Laine E.,5.0,0.5,-0.1875
2007-01-03,571.833816356332,60.51151495834202,136.15090865626954,Razzano V.,3.25,0.5,0.3125
2007-01-03,492.41245297350815,79.4213633828239,-79.4213633828239,Granville L.,3.25,0.5,-0.13888888888888884
2007-01-03,517.0330756221836,20.517185540562856,24.620622648675432,Pin C.,2.2,0.5,0.050000000000000044
2007-01-04,430.86089635181963,86.17217927036393,-86.17217927036393,Daniilidou E.,4.0,0.5,-0.16666666666666663
2007-01-04,371.0191051918447,59.84179115997495,-59.84179115997495,Razzano V.,3.25,0.5,-0.13888888888888884
2007-01-05,296.8152841534758,74.20382103836894,-74.20382103836894,Pin C.,6.0,0.5,-0.19999999999999996
2007-01-05,249.59467076542282,47.22061338805296,-47.22061338805296,Craybas J.,3.75,0.5,-0.15909090909090906
2007-01-06,232.74247584148003,16.852194923942786,-16.852194923942786,Zvonareva V.,2.37,0.5,-0.06751824817518248
2006-12-31,189.10326162120253,43.63921422027751,-43.63921422027751,Golds S.,5.0,0.5,-0.1875
2006-12-31,184.80546022072065,4.297801400481879,-4.297801400481879,Ivanova E.,2.1,0.5,-0.022727272727272818
2006-12-31,147.0043433573914,37.80111686332923,-37.80111686332923,Bammer S.,6.5,0.5,-0.2045454545454547
2006-12-31,139.65412618952183,7.3502171678695705,-7.3502171678695705,Camerin M.E.,2.25,0.5,-0.050000000000000044
2006-12-31,244.39472083166322,26.185148660535344,104.74059464214137,Ferguson S.,5.0,0.5,0.75
2007-01-01,207.73551270691374,36.65920812474948,-36.65920812474948,Shaughnessy M.,3.5,0.5,-0.15000000000000002
2007-01-01,170.639885437822,37.09562726909174,-37.09562726909174,Zahlavova S.,4.5,0.5,-0.1785714285714286
2007-01-01,159.11857930424642,11.521306133575575,-11.521306133575575,King V.,2.37,0.5,-0.06751824817518248
2007-01-01,145.85869769555921,13.259881608687202,-13.259881608687202,Fedak Y.,2.5,0.5,-0.08333333333333337
2007-01-01,121.54891474629935,24.30978294925987,-24.30978294925987,Vinci R.,4.0,0.5,-0.16666666666666663
2007-01-01,115.47146900898437,6.077445737314967,-6.077445737314967,Bovina E.,2.25,0.5,-0.050000000000000044
2007-01-01,126.15257989231543,7.796431301701501,10.681110883331057,Kirilenko M.,2.37,0.5,0.09250000000000003
2007-01-01,114.08242564335933,12.070154248956108,-12.070154248956108,Peng S.,2.62,0.5,-0.095679012345679
2007-01-02,98.23764430400387,15.844781339355464,-15.844781339355464,Likhovtseva E.,3.25,0.5,-0.13888888888888895
2007-01-02,147.3564664560058,16.372940717333975,49.118822152001925,Castano C.,4.0,0.5,0.5
2007-01-02,165.77602476300652,12.279705538000481,18.41955830700072,Vesnina E.,2.5,0.5,0.125
2007-01-02,129.51251934609883,36.26350541690768,-36.26350541690768,Pratt N.,9.0,0.5,-0.2187500000000001
2007-01-03,111.52466943691843,17.987849909180394,-17.987849909180394,Poutchkova O.,3.25,0.5,-0.13888888888888895
2007-01-03,89.21973554953475,22.304933887383687,-22.304933887383687,Sequera M.,6.0,0.5,-0.19999999999999996
2007-01-03,79.66047816922745,9.559257380307294,-9.559257380307294,Kirilenko M.,2.75,0.5,-0.1071428571428572
2007-01-03,64.17094074743322,15.489537421794227,-15.489537421794227,Ferguson S.,5.5,0.5,-0.19444444444444442
2007-01-04,70.10675276657079,4.332709503020127,5.9358120191375745,Garbin T.,2.37,0.5,0.09250000000000003
