winner,loser,m_winner,m_loser,s_winner,s_loser,b_winner,b_loser
Castano C.,Golds S.,0.0,0.0,2.5,2.5,1.33,3
Sequera M.,Ivanova E.,0.0,0.0,2.5,2.5,3.75,1.22
Bremond S.,Benesova I.,0.0,0.0,2.5,2.5,1.72,2
Hingis M.,Bammer S.,0.0,0.0,2.5,2.5,1.83,1.83
Vesnina E.,Camerin M.E.,0.0,0.0,2.5,2.5,1.16,4.5
Ferguson S.,Sugiyama A.,0.0,0.0,2.5,2.5,2.5,1.5
Sun T.T.,Baker L.,0.0,0.0,2.5,2.5,1.36,2.87
Dulko G.,Myskina A.,0.0,0.0,2.5,2.5,2.5,1.5
Loit E.,Birnerova E.,0.0,0.0,2.5,2.5,1.83,1.83
Craybas J.,Nakamura A.,0.0,0.0,2.5,2.5,1.53,2.37
Bartoli M.,Morita A.,0.0,0.0,2.5,2.5,1.72,2
Pin C.,Perry S.,0.0,0.0,2.5,2.5,1.57,2.25
Daniilidou E.,Kostanic J.,0.0,0.0,2.5,2.5,1.28,3.25
Erakovic M.,Tu M.,0.0,0.0,2.5,2.5,1.66,2.1
Razzano V.,Kanepi K.,0.0,0.0,2.5,2.5,1.14,5
Laine E.,Johansson M.,0.0,0.0,2.5,2.5,1.12,5.5
Peer S.,Shaughnessy M.,0.0,0.0,2.5,2.5,1.72,2
Li N.,Zahlavova S.,0.0,0.0,2.5,2.5,3.25,1.28
Srebotnik K.,King V.,0.0,0.0,2.5,2.5,1.53,2.37
Poutchkova O.,Fedak Y.,0.0,0.0,2.5,2.5,1.22,4
Garbin T.,Groenefeld A.L.,0.0,0.0,2.5,2.5,1.53,2.37
Ivanovic A.,Vinci R.,0.0,0.0,2.5,2.5,1.14,5
Pratt N.,Bovina E.,0.0,0.0,2.5,2.5,3.25,1.28
Kirilenko M.,Pennetta F.,0.0,0.0,2.5,2.5,1.28,3.25
Stosur S.,Peng S.,0.0,0.0,2.5,2.5,2.2,1.61
Meusburger Y.,Bychkova E.,0.0,0.0,2.5,2.5,2.0,1.72
Suarez P.,Muller M.,0.0,0.0,2.5,2.5,1.19,4
Hantuchova D.,Cibulkova D.,0.0,0.0,2.5,2.5,1.28,3.25
Granville L.,Oprandi R.,0.0,0.0,2.5,2.5,1.11,6
Zvonareva V.,Osterloh L.,0.0,0.0,2.5,2.5,1.25,3.75
Jankovic J.,Schruff J.,0.0,0.0,2.5,2.5,1.53,2.37
Craybas J.,Dulko G.,1.3095921546231177,1.3095921546231177,2.129757823920264,2.129757823920264,1.14,5
Loit E.,Bartoli M.,1.3095921546231177,1.3095921546231177,2.129757823920264,2.129757823920264,1.66,2.1
Safina D.,Likhovtseva E.,0.0,0.0,2.5,2.5,1.72,2
Castano C.,Li N.,1.3095921546231177,1.3095921546231177,2.1299691050692684,2.129757823920264,1.08,6.5
Garbin T.,Bremond S.,1.3095921546231177,1.3095921546231177,2.129757823920264,2.1299691050692684,1.57,2.25
Vesnina E.,Srebotnik K.,1.3095921546231177,1.3095921546231177,2.1299691050692684,2.129757823920264,5.0,1.14
Hingis M.,Pratt N.,1.3095921546231177,1.3095921546231177,2.1299691050692684,2.129757823920264,1.25,3.5
Suarez P.,Sun T.T.,1.3095921546231177,1.3095921546231177,2.129757823920264,2.1299691050692684,1.16,4.5
Daniilidou E.,Erakovic M.,1.3095921546231177,1.3095921546231177,2.1299691050692684,2.1299691050692684,1.53,2.37
Pin C.,Meusburger Y.,1.3095921546231177,1.3095921546231177,2.1299691050692684,2.129757823920264,1.5,2.5
Jankovic J.,Laine E.,1.3095921546231177,1.3095921546231177,2.129757823920264,2.1299691050692684,2.0,1.72
Razzano V.,Hantuchova D.,1.3095921546231177,1.3095921546231177,2.1299691050692684,2.129757823920264,1.19,4
Zvonareva V.,Granville L.,1.3095921546231177,1.3095921546231177,2.129757823920264,2.129757823920264,1.57,2.25
Pin C.,Loit E.,1.3095921546231177,2.3957340700795493,2.1299691050692684,1.8607295082316357,2.37,1.53
Peer S.,Poutchkova O.,1.3095921546231177,1.3095921546231177,2.1299691050692684,2.1299691050692684,1.44,2.62
Ivanovic A.,Sequera M.,1.3095921546231177,1.3095921546231177,2.1299691050692684,2.13018036526243,1.28,3.25
Safina D.,Kirilenko M.,1.3095921546231177,1.3095921546231177,2.129757823920264,2.1299691050692684,4.0,1.19
Stosur S.,Ferguson S.,1.3095921546231177,1.3095921546231177,2.1299691050692684,2.13018036526243,1.9,1.8
Craybas J.,Suarez P.,2.3954738186982367,2.3956898639444395,1.8609497475355863,1.8607569017756813,2.5,1.5
Jankovic J.,Daniilidou E.,2.3956898639444395,2.39586184070946,1.8607569017756813,1.8608934033227598,1.04,9
Zvonareva V.,Razzano V.,2.3957340700795493,2.3959060502640654,1.8607295082316357,1.860866005453416,1.28,3.25
Garbin T.,Vesnina E.,2.395429651595524,2.3956458770501414,1.8609771438884029,1.8610862249286761,1.1,6
Peer S.,Ivanovic A.,2.39586184070946,2.3958176365821213,1.8608934033227598,1.8609207960531016,1.39,2.75
Safina D.,Stosur S.,2.3956898639444395,2.3958176365821213,1.8607569017756813,1.8609207960531016,1.12,5.5
Hingis M.,Castano C.,2.3956458770501414,2.3956458770501414,1.8610862249286761,1.8610862249286761,2.37,1.53
Jankovic J.,Pin C.,3.3222502616571448,3.321702123459795,1.6622529494814615,1.6623383903542746,2.37,1.53
Zvonareva V.,Craybas J.,3.322278126152872,3.322433106114323,1.6622343482392166,1.662381719798994,1.53,2.37
Hingis M.,Garbin T.,3.3226580086356727,3.3224110894079177,1.662513325914737,1.6624270424957217,1.04,9
Safina D.,Peer S.,3.3222335803696477,3.3224693267217753,1.6622573296731447,1.6623578488112463,1.05,8
Jankovic J.,Zvonareva V.,4.131845612134117,4.131918813548262,1.5127263874362702,1.5127181982275677,1.57,2.25
Safina D.,Hingis M.,4.131914925996494,4.132412385400838,1.512727788335881,1.5129295593229468,3.0,1.36
Chakvetadze A.,Dominguez Lino L.,0.0,0.0,2.5,2.5,,
Ivanovic A.,Dellacqua C.,1.29064785781322,0.0,1.5121799216376863,2.5,,
Li N.,Schiavone F.,-0.06701174171251499,0.0,1.7128240030607607,2.5,2.0,1.72
Peer S.,Groenefeld A.L.,2.719854220774063,-0.8632888324598121,1.4305355205685644,2.107125998250614,2.62,1.44
Vaidisova N.,Hantuchova D.,0.0,-0.06705352276137,2.5,1.7125458095834007,1.57,2.25
Oprandi R.,Likhovtseva E.,-1.5565275396156604,-0.2727845094146831,2.044109153513332,2.3207173189015635,1.83,1.83
Castano C.,Vinci R.,1.765210332107031,-1.0670592842253144,1.488384734084127,2.06521972102159,1.53,2.37
Bremond S.,Krajicek M.,0.2266687793608188,0.0,1.7313624435219672,2.5,2.0,1.72
Santangelo M.,Camerin M.E.,0.0,-1.297314078114054,2.5,2.027174827561275,1.72,2
Mirza S.,Kirilenko M.,0.0,0.9419376811159705,2.5,1.927104540249048,1.33,3
Safarova L.,Muller M.,0.0,-1.2973738562350408,2.5,2.026703715714413,1.07,7
Bammer S.,Harkleroad A.,-0.5459323838818858,0.0,2.201315020420191,2.5,,
Medina Garrigues A.,Vesnina E.,0.0,1.126402081180234,2.5,1.4790704137883932,,
Molik A.,Kostanic J.,0.0,-1.0274609973773714,2.5,2.1012810775856097,,
Bondarenko A.,Moore J.,0.0,0.0,2.5,2.5,1.12,5
Zheng J.,Foretz S.,0.0,0.0,2.5,2.5,1.57,2.25
Bardina V.,Dulko G.,0.0,0.2459165927548372,2.5,1.7342669753172588,1.44,2.62
Nakamura A.,Pennetta F.,-0.8630224563382541,-1.4293676531669481,2.106952802362415,2.081314721231551,2.1,1.66
Williams S.,Arvidsson S.,0.0,0.0,2.5,2.5,2.75,1.39
Stosur S.,Zvonareva V.,1.9182768063522557,3.366444512948985,1.6402311400991354,1.284051854266625,1.19,4
Golovin T.,Peng S.,0.0,-1.0250648436017906,2.5,2.1019990637207293,1.83,1.83
Fedak Y.,Bartoli M.,-1.614135274954902,-0.16466617390543964,2.032084783986066,1.696505781276453,,
Schnyder P.,Dushevina V.,0.0,0.0,2.5,2.5,1.36,3
Srebotnik K.,Bovina E.,-0.2222994321779368,-1.5565396546673382,1.683997805002581,2.0443293060678185,1.72,2
Jankovic J.,Hingis M.,4.839372795294834,3.4606870670989123,1.400245824119539,1.2721337263169135,2.1,1.66
Dementieva E.,Sugiyama A.,0.0,-1.7888465634064508,2.5,2.0056590056018484,1.83,1.83
Pratt N.,Safina D.,0.6077392711875942,4.9163942857034675,1.810878368201623,1.3868255463930979,1.39,2.75
